noga2008;noga2002;p
421300;45.21C;0.633098592
421300;45.21E;0.316901409
421300;45.21F;0.05
422100;45.21D;0.785456006
422100;45.25C;0.106468461
422100;45.21F;0.065889916
422100;45.21E;0.042185617
422100;45.24A;0
422200;45.21D;0.708943089
422200;45.21F;0.291056911
422200;45.21E;0
429100;45.24A;1
429900;45.21D;0.328475336
429900;45.23B;0.182735426
429900;45.21B;0.171524664
429900;45.21E;0.135650224
429900;45.21A;0.094170404
429900;45.21F;0.087443946
431100;45.11A;1
431200;45.11B;1
431300;45.12A;1
432100;45.31A;0.946782089
432100;45.34A;0.053217911
432201;45.33A;1
432202;45.33B;1
432203;45.33C;1
432204;45.33D;0.996288399
432204;45.31A;0.003711601
432901;45.32A;1
432902;45.34A;0.839253462
432902;29.22A;0.09512342
432902;45.31A;0.065623119
433100;45.41A;1
433200;45.42A;1
433200;25.23A;0
433200;28.12A;0
433301;45.43A;1
433302;45.43B;1
433303;45.43C;1
433401;45.44A;1
433402;45.44B;1
433403;45.44C;1
433900;45.45A;1
439101;45.22A;1
439102;45.22B;1
439103;45.22C;1
439901;45.22D;1
439902;45.25A;1
439903;45.25B;1
439904;45.50A;1
439905;45.25C;0.992053872
439905;45.21A;0.007946128
439905;45.24A;0
439905;45.45A;0
451101;50.10A;1
451102;50.10B;1
451901;50.10A;1
451902;50.10B;1
452001;50.20A;1
452002;50.20B;1
453100;50.30A;1
453200;50.30B;1
454000;50.40A;1
461100;51.11A;1
461200;51.12A;1
461300;51.13A;1
461400;51.14A;1
461500;51.15A;1
461600;51.16A;1
461700;51.17A;1
461800;51.18A;1
461900;51.19A;1
462100;51.21A;0.997122679
462100;51.25A;0.002877322
462200;51.22A;1
462300;51.23A;1
462400;51.24A;1
463100;51.31A;1
463100;51.38A;0
463200;51.32A;1
463300;51.33A;1
463401;51.34A;1
463402;51.34B;1
463500;51.35A;1
463600;51.36A;1
463700;51.37A;1
463800;51.38A;1
463900;51.39A;1
464100;51.41A;1
464201;51.42A;1
464202;51.42B;1
464301;51.43A;1
464302;51.43B;1
464303;51.47C;1
464400;51.44B;0.541561713
464400;51.44A;0.458438287
464500;51.45A;1
464601;51.46A;1
464602;51.46B;1
464700;51.47A;0.827067669
464700;51.43A;0.172932331
464801;51.47D;1
464802;51.47E;1
464901;51.47B;1
464902;51.47F;1
464903;51.47G;1
464904;51.47H;1
464905;51.47I;1
464906;51.47J;1
464906;51.44A;0
465101;51.84A;1
465102;51.84B;1
465200;51.86A;0.998870907
465200;51.43B;0.001129093
466100;51.88A;1
466200;51.81A;1
466300;51.82A;1
466400;51.83A;1
466500;51.85B;1
466600;51.85A;1
466900;51.87A;1
467100;51.51A;1
467200;51.52A;1
467301;51.53A;1
467302;51.53B;0.949069417
467302;51.47A;0.043636821
467302;51.44A;0.007293763
467303;51.53C;1
467400;51.54A;1
467500;51.55A;1
467600;51.56A;0.90314304
467600;51.55A;0.09685696
467701;51.57A;1
467702;51.57A;1
469000;51.90A;1
471101;52.11A;1
471102;52.11B;1
471103;52.11C;1
471104;52.11D;1
471105;52.11E;1
471901;52.12A;1
471902;52.12B;1
472100;52.21A;1
472100;52.27B;0
472200;52.22A;1
472300;52.23A;1
472401;52.24A;1
472402;52.24B;1
472500;52.25A;1
472600;52.26A;1
472901;52.27A;1
472902;52.27B;1
473000;50.50A;1
474100;52.48J;0.953589361
474100;52.48I;0.039761162
474100;52.48K;0.006649478
474200;52.48I;1
474300;52.45B;0.907184125
474300;52.45E;0.092815875
475100;52.41A;1
475201;52.46A;1
475202;52.46B;1
475300;52.48E;0.582008178
475300;52.44B;0.417991822
475400;52.45A;0.623696287
475400;52.45E;0.376303713
475901;52.45D;1
475902;52.44A;0.970792645
475902;52.48I;0.029207355
475903;52.44B;1
476100;52.47A;1
476201;52.47B;1
476202;52.47C;1
476300;52.45C;1
476401;52.48L;1
476402;52.48M;1
476500;52.48K;1
477101;52.42A;1
477102;52.42B;1
477103;52.42C;1
477104;52.42D;1
477105;52.42E;1
477201;52.43A;1
477202;52.43B;1
477300;52.31A;1
477400;52.32A;1
477501;52.33A;1
477502;52.33B;1
477601;52.48A;1
477602;52.48B;1
477603;52.48C;1
477700;52.48H;1
477801;52.48D;1
477802;52.48F;1
477803;52.48G;1
477804;52.48N;1
477805;52.48O;1
477806;52.48P;1
477901;52.50A;1
477902;52.50B;0.987242395
477902;52.63A;0.012757606
478100;52.62A;1
478200;52.62A;1
478900;52.62A;1
479100;52.61A;0.939071348
479100;52.63A;0.060928652
479900;52.63A;1
491000;60.10A;1
492000;60.10A;1
493100;60.21A;1
493200;60.22A;1
493901;60.23A;1
493902;60.21B;1
493903;60.21C;1
494100;60.24A;1
494200;60.24A;1
495000;60.30A;1
501000;61.10A;1
502000;61.10A;1
503000;61.20A;1
504000;61.20B;1
511000;62.10A;0.872045028
511000;62.20A;0.127954972
512100;62.20A;0.765027322
512100;62.10A;0.234972678
512200;62.30A;1
521000;63.12A;1
522100;63.21A;0.610044566
522100;60.10A;0.351388413
522100;50.20A;0.038567021
522100;11.10A;0
522200;63.22A;1
522200;11.10A;0
522200;61.10A;0
522200;61.20A;0
522300;63.23A;1
522300;62.30A;0
522400;63.11A;1
522900;63.40A;1
531000;64.11A;1
532000;64.12A;1
551001;55.10A;1
551002;55.10B;1
551003;55.10A;0.971904266
551003;55.10B;0.028095734
552001;55.23A;1
552002;55.21A;0.567441861
552002;55.23B;0.43255814
552003;55.21A;0.916666667
552003;55.23A;0.0625
552003;55.23B;0.020833333
553001;55.22A;1
553001;55.21A;0
553002;55.22A;1
559000;55.23C;1
561001;55.30A;1
561002;55.30B;1
561003;55.30A;0.996359223
561003;55.30B;0.003640777
561003;55.40A;0
561003;55.40B;0
562100;55.52A;1
562900;55.51A;0.999780966
562900;55.52A;0.000219034
563001;55.40A;1
563002;55.40B;1
581100;22.11A;0.997740113
581100;72.40A;0.002259887
581200;22.11A;0.649367089
581200;72.40A;0.350632911
581300;22.12A;1
581300;72.40A;0
581400;22.13A;0.997609562
581400;72.40A;0.002390438
581900;22.15A;0.993744415
581900;72.40A;0.006255585
581900;22.22C;0
582100;72.21A;1
582100;72.40A;0
582900;72.21A;0.617977528
582900;72.40A;0.382022472
591100;92.11A;0.85915493
591100;92.20B;0.14084507
591200;92.11A;1
591300;92.12A;1
591400;92.13A;1
592000;92.20A;0.623900673
592000;22.14A;0.181583032
592000;92.11A;0.163476462
592000;74.87D;0.029487843
592000;72.40A;0.001551992
601000;92.20A;0.9994507
601000;72.40A;0.0005493
601000;64.20B;0
602000;92.20B;0.557663801
602000;64.20B;0.442336199
602000;72.40A;0
611000;64.20A;0.992704914
611000;64.20C;0.007295086
612000;64.20A;0.967042498
612000;64.20C;0.032957502
613000;64.20A;0.984148551
613000;64.20C;0.015851449
619000;64.20A;0.973684211
619000;64.20C;0.02631579
