ngae1985;noga1995;p
8322;8514H;0.124
8323;8514E;0.033
8323;8514B;0.967
8324;8514F;0.15
8324;8514C;0.85
8331;8511B;0.086
8331;8511A;0.914
8332;8511B;0.245
8332;8511D;0.048
8332;8531B;0.474
8332;8531C;0.234
8333;8511C;1
8334;8511B;1
8341;3310C;1
8342;8514G;1
8343;8512A;1
8344;8514H;1
8351;8520A;1
8352;8520A;0.024
8352;0142B;0.976
8411;9000A;1
8412;9000B;1
8420;9000C;0.888
8420;7470C;0.112
8511;8531G;0.94
8511;5523C;0.06
8512;8531A;1
8513;8531E;0.106
8513;8531F;0.111
8513;8531I;0.782
8521;8531G;1
8522;8531H;1
8530;8532B;0.423
8530;8531D;0.577
8540;8532D;0.137
8540;8532A;0.863
8550;8532C;1
8610;9131A;1
8620;9131A;1
8630;9131A;1
8710;9112A;0.576
8710;9111A;0.424
8721;9132A;1
8722;9120A;1
8723;9133A;1
8724;9133B;0.107
8724;9133D;0.102
8724;9262A;0.791
8725;9133C;1
8730;9133D;0.588
8730;6330A;0.412
8811;9251A;1
8812;9240B;0.798
8812;9231D;0.202
8821;9232A;0.686
8821;9231A;0.314
8822;9231A;1
8823;9234D;0.902
8823;9233A;0.098
8830;9232A;0.251
8830;9231B;0.749
8841;9213A;1
8842;9212A;1
8843;9232B;0.277
8843;9211A;0.723
8851;9231C;1
8852;9231C;1
8861;9220A;1
8862;9220B;1
8871;9252A;1
8872;9253A;1
8873;9133A;1
8874;9133D;1
8881;9261A;1
8882;9304B;1
8883;9262B;1
8891;9271A;1
8892;9234C;1
8893;9233A;0.826
8893;9234A;0.031
8893;9234D;0.143
9111;7523A;1
9112;7525A;0.046
9112;7524A;0.954
9113;7522A;1
9114;7513A;0.3
9114;7512A;0.7
9115;7512A;1
9116;7512A;1
9117;7513A;1
9118;7511A;0.788
9118;7514A;0.154
9118;7521A;0.058
9121;7523A;1
9122;7523B;1
9131;7524A;1
9132;7430A;1
9133;7525A;1
9141;7522A;1
9142;7522B;1
9210;7530A;1
9220;7530B;1
1;1;1
2;2;0.983967636
2;2;0.016032364
3;2;1
4;5;1
11;40;0.947013528
11;41;0.052986472
12;11;0.102380952
12;14;0.897619048
21;1;0.000664931
21;15;0.989656637
21;24;0.009678432
22;15;1
23;16;1
24;17;0.882977599
24;24;0.117022401
25;17;0.145250355
25;18;0.367771062
25;20;0.424781733
25;36;0.062196851
26;18;0.007254526
26;19;0.000176402
26;20;0.614054817
26;36;0.272915702
26;45;0.105598554
27;21;1
28;22;1
29;19;0.959947183
29;33;0.040052817
31;23;0.006694471
31;24;0.982702104
31;36;0.010603426
32;25;0.958882306
32;33;0.022946326
32;36;0.015872314
32;45;0.002299054
33;10;0.000315413
33;14;0.18157286
33;26;0.797925282
33;33;0.020186444
34;27;0.189247312
34;28;0.750636384
34;29;0.008426596
34;36;0.028439763
34;45;0.023249945
35;28;0.065916676
35;29;0.830421635
35;30;0.028978581
35;34;0.02504583
35;35;0.049637278
36;22;0.000854845
36;29;0.074023973
36;31;0.372815917
